iter	Passed	Remaining
0	187	281541
1	202	151589
2	214	106926
3	224	84122
4	236	70693
5	247	61718
6	262	55968
7	281	52448
8	294	48799
9	305	45587
10	314	42623
11	326	40466
12	338	38775
13	353	37549
14	357	35400
15	369	34280
16	386	33725
17	398	32783
18	407	31762
19	418	30956
20	431	30420
21	448	30152
22	459	29534
23	477	29352
24	490	28949
25	506	28700
26	518	28262
27	531	27926
28	547	27760
29	563	27603
30	585	27750
31	599	27490
32	612	27243
33	628	27089
34	636	26649
35	649	26407
36	657	26007
37	666	25646
38	675	25319
39	686	25053
40	692	24642
41	699	24298
42	707	23966
43	715	23664
44	724	23441
45	738	23327
46	751	23236
47	757	22926
48	767	22725
49	773	22441
50	788	22392
51	800	22290
52	812	22182
53	823	22048
54	830	21820
55	841	21703
56	852	21577
57	863	21480
58	879	21488
59	893	21434
60	908	21428
61	919	21317
62	932	21272
63	947	21263
64	959	21192
65	969	21057
66	980	20964
67	992	20907
68	1001	20779
69	1015	20751
70	1026	20656
71	1036	20560
72	1048	20490
73	1059	20416
74	1069	20325
75	1086	20359
76	1101	20361
77	1107	20197
78	1119	20128
79	1126	19997
80	1136	19915
81	1147	19847
82	1163	19860
83	1172	19766
84	1184	19710
85	1193	19622
86	1203	19543
87	1212	19452
88	1224	19407
89	1241	19446
90	1252	19391
91	1261	19312
92	1270	19219
93	1279	19138
94	1287	19034
95	1296	18955
96	1308	18928
97	1319	18883
98	1329	18814
99	1339	18752
100	1347	18669
101	1356	18596
102	1367	18540
103	1374	18452
104	1383	18377
105	1398	18386
106	1408	18343
107	1416	18256
108	1418	18106
109	1427	18039
110	1435	17965
111	1444	17896
112	1457	17891
113	1467	17842
114	1474	17760
115	1487	17748
116	1496	17683
117	1504	17618
118	1513	17562
119	1521	17495
120	1533	17477
121	1544	17443
122	1553	17389
123	1562	17336
124	1571	17289
125	1579	17219
126	1589	17187
127	1600	17150
128	1612	17142
129	1624	17124
130	1636	17097
131	1643	17033
132	1656	17021
133	1670	17033
134	1684	17030
135	1694	16994
136	1704	16958
137	1711	16892
138	1721	16856
139	1733	16836
140	1743	16808
141	1753	16765
142	1764	16743
143	1774	16708
144	1785	16684
145	1797	16670
146	1808	16642
147	1823	16658
148	1838	16667
149	1849	16643
150	1860	16621
151	1871	16592
152	1888	16622
153	1908	16680
154	1924	16696
155	1934	16666
156	1944	16631
157	1955	16611
158	1967	16594
159	1984	16617
160	2003	16659
161	2015	16643
162	2027	16633
163	2038	16609
164	2056	16635
165	2069	16632
166	2083	16629
167	2091	16583
168	2095	16507
169	2107	16484
170	2120	16477
171	2137	16503
172	2149	16486
173	2159	16457
174	2168	16416
175	2174	16359
176	2186	16345
177	2203	16367
178	2213	16338
179	2227	16334
180	2239	16316
181	2256	16339
182	2273	16364
183	2287	16359
184	2296	16324
185	2309	16313
186	2318	16280
187	2330	16261
188	2343	16254
189	2349	16199
190	2359	16172
191	2371	16152
192	2380	16123
193	2392	16107
194	2402	16081
195	2424	16129
196	2436	16117
197	2445	16078
198	2455	16054
199	2468	16043
200	2479	16021
201	2487	15981
202	2492	15926
203	2503	15907
204	2514	15886
205	2524	15857
206	2536	15844
207	2548	15832
208	2557	15795
209	2573	15808
210	2578	15751
211	2587	15718
212	2595	15683
213	2604	15653
214	2615	15634
215	2626	15613
216	2636	15588
217	2647	15570
218	2660	15562
219	2672	15547
220	2680	15513
221	2688	15474
222	2697	15449
223	2712	15449
224	2722	15427
225	2733	15408
226	2743	15384
227	2752	15357
228	2762	15333
229	2774	15317
230	2783	15290
231	2795	15280
232	2804	15250
233	2813	15219
234	2828	15228
235	2841	15217
236	2850	15192
237	2867	15206
238	2877	15182
239	2889	15170
240	2902	15161
241	2911	15134
242	2924	15126
243	2937	15123
244	2944	15085
245	2955	15063
246	2963	15034
247	2970	14998
248	2980	14976
249	2989	14949
250	2997	14918
251	3011	14915
252	3018	14877
253	3027	14852
254	3036	14826
255	3046	14803
256	3057	14789
257	3065	14759
258	3070	14711
259	3084	14708
260	3089	14665
261	3100	14652
262	3112	14637
263	3120	14611
264	3132	14597
265	3143	14580
266	3157	14582
267	3168	14563
268	3179	14551
269	3190	14534
270	3199	14511
271	3207	14482
272	3217	14462
273	3228	14444
274	3240	14435
275	3249	14412
276	3259	14391
277	3269	14373
278	3278	14348
279	3288	14328
280	3298	14309
281	3305	14278
282	3316	14261
283	3323	14228
284	3333	14210
285	3342	14188
286	3350	14160
287	3358	14135
288	3368	14113
289	3375	14084
290	3385	14063
291	3399	14063
292	3411	14052
293	3418	14023
294	3426	13997
295	3435	13973
296	3442	13943
297	3451	13922
298	3460	13898
299	3472	13889
300	3482	13873
301	3491	13850
302	3500	13826
303	3505	13792
304	3515	13774
305	3525	13756
306	3536	13741
307	3545	13721
308	3552	13692
309	3561	13672
310	3571	13653
311	3573	13607
312	3580	13579
313	3590	13561
314	3600	13543
315	3610	13528
316	3618	13502
317	3629	13489
318	3638	13469
319	3648	13452
320	3651	13411
321	3659	13387
322	3665	13358
323	3673	13332
324	3676	13293
325	3681	13257
326	3688	13232
327	3698	13215
328	3706	13192
329	3716	13176
330	3726	13161
331	3732	13129
332	3744	13123
333	3754	13107
334	3763	13086
335	3771	13067
336	3779	13043
337	3788	13024
338	3797	13006
339	3807	12988
340	3813	12962
341	3820	12935
342	3829	12919
343	3839	12901
344	3845	12875
345	3854	12854
346	3861	12831
347	3869	12810
348	3875	12780
349	3883	12761
350	3891	12739
351	3903	12729
352	3912	12711
353	3923	12700
354	3932	12683
355	3939	12659
356	3946	12635
357	3952	12608
358	3961	12591
359	3971	12576
360	3979	12556
361	3986	12531
362	3994	12512
363	4001	12487
364	4009	12467
365	4019	12454
366	4028	12436
367	4034	12409
368	4044	12397
369	4057	12390
370	4066	12375
371	4078	12366
372	4087	12350
373	4097	12335
374	4106	12320
375	4116	12304
376	4130	12304
377	4142	12294
378	4151	12280
379	4160	12263
380	4169	12246
381	4182	12242
382	4194	12233
383	4205	12221
384	4214	12205
385	4222	12187
386	4232	12172
387	4243	12160
388	4252	12146
389	4256	12113
390	4263	12093
391	4275	12084
392	4284	12069
393	4291	12047
394	4301	12032
395	4312	12022
396	4320	12004
397	4332	11995
398	4340	11977
399	4354	11975
400	4365	11963
401	4372	11944
402	4383	11931
403	4393	11918
404	4403	11905
405	4411	11888
406	4421	11874
407	4430	11859
408	4439	11841
409	4450	11832
410	4459	11817
411	4462	11784
412	4469	11764
413	4476	11742
414	4484	11725
415	4497	11720
416	4506	11702
417	4512	11679
418	4520	11663
419	4528	11645
420	4533	11619
421	4540	11599
422	4548	11581
423	4558	11568
424	4566	11550
425	4579	11545
426	4589	11532
427	4600	11521
428	4609	11507
429	4618	11491
430	4628	11479
431	4638	11466
432	4650	11460
433	4659	11444
434	4669	11432
435	4678	11416
436	4686	11400
437	4696	11388
438	4706	11376
439	4719	11369
440	4726	11350
441	4736	11336
442	4745	11323
443	4753	11306
444	4763	11293
445	4773	11280
446	4781	11263
447	4791	11250
448	4798	11232
449	4808	11218
450	4818	11206
451	4826	11189
452	4834	11173
453	4844	11160
454	4855	11151
455	4867	11144
456	4879	11135
457	4889	11123
458	4896	11104
459	4903	11086
460	4910	11067
461	4918	11050
462	4928	11038
463	4944	11038
464	4955	11030
465	4964	11015
466	4972	11000
467	4981	10984
468	4992	10974
469	5002	10962
470	5014	10955
471	5024	10944
472	5033	10928
473	5041	10913
474	5049	10896
475	5058	10883
476	5068	10871
477	5079	10861
478	5091	10851
479	5099	10835
480	5110	10826
481	5119	10813
482	5127	10796
483	5136	10782
484	5146	10770
485	5153	10752
486	5165	10744
487	5175	10733
488	5183	10716
489	5192	10703
490	5196	10677
491	5205	10665
492	5215	10653
493	5223	10637
494	5234	10626
495	5244	10616
496	5253	10601
497	5262	10587
498	5267	10567
499	5277	10554
500	5287	10544
501	5296	10529
502	5305	10516
503	5333	10540
504	5357	10555
505	5376	10562
506	5390	10557
507	5405	10555
508	5415	10543
509	5426	10533
510	5438	10526
511	5452	10522
512	5464	10513
513	5475	10504
514	5486	10494
515	5496	10481
516	5503	10463
517	5512	10449
518	5521	10436
519	5534	10430
520	5542	10413
521	5554	10406
522	5564	10395
523	5571	10377
524	5582	10366
525	5590	10352
526	5601	10341
527	5612	10332
528	5619	10315
529	5629	10302
530	5637	10287
531	5648	10277
532	5655	10260
533	5662	10243
534	5672	10231
535	5684	10223
536	5695	10213
537	5704	10200
538	5713	10186
539	5722	10174
540	5732	10162
541	5743	10151
542	5752	10138
543	5768	10137
544	5777	10124
545	5787	10112
546	5797	10100
547	5806	10087
548	5816	10074
549	5832	10073
550	5842	10062
551	5852	10050
552	5860	10036
553	5869	10023
554	5881	10013
555	5889	9998
556	5893	9977
557	5904	9968
558	5913	9954
559	5925	9945
560	5935	9934
561	5941	9916
562	5951	9904
563	5965	9899
564	5979	9895
565	5990	9884
566	5999	9871
567	6002	9849
568	6010	9834
569	6020	9823
570	6032	9814
571	6039	9798
572	6053	9792
573	6061	9778
574	6070	9765
575	6082	9756
576	6090	9743
577	6097	9726
578	6108	9716
579	6123	9713
580	6138	9709
581	6150	9701
582	6159	9688
583	6168	9675
584	6181	9667
585	6189	9653
586	6207	9655
587	6218	9645
588	6232	9640
589	6251	9641
590	6265	9637
591	6284	9639
592	6297	9632
593	6308	9622
594	6323	9618
595	6340	9617
596	6360	9620
597	6373	9612
598	6393	9617
599	6413	9620
600	6422	9606
601	6430	9592
602	6451	9597
603	6472	9601
604	6489	9600
605	6507	9600
606	6521	9593
607	6525	9573
608	6543	9573
609	6562	9574
610	6583	9578
611	6601	9578
612	6618	9576
613	6629	9565
614	6642	9558
615	6652	9546
616	6663	9536
617	6679	9532
618	6696	9530
619	6714	9530
620	6727	9522
621	6741	9515
622	6754	9508
623	6766	9498
624	6777	9488
625	6788	9477
626	6797	9464
627	6807	9452
628	6817	9440
629	6833	9436
630	6846	9429
631	6854	9413
